topic,batch,topicsperbatch,keywords,vol,group,G10,G9,G8,G7,G6,G5,G4,G3,G2,G1
1,1,5,now|biggest|new|affect|threat|talk|stop|read|news|expe,1321,1,1,1,1,1,1,1,1,1,1,1
2,1,5,govern|weather|carbon|fight|action|#sot|tax|hawk|thing|peopl,1251,2,2,2,2,2,2,2,2,2,2,2
3,1,5,year|scientist|record|risk|ice|hottest|#coal|research|food|#hottestyear,1026,3,3,3,3,3,3,3,3,3,3,3
4,1,5,world|denier|serio|scienc|make|billion|bet|col|wasnt|fossil,656,4,4,4,4,4,4,4,4,4,4,4
5,1,5,econom|#thori|need|time|energi|denial|sol|right|renew|activ,740,5,5,5,5,5,5,5,5,5,5,5
6,2,5,action|marriag|rep|tasmania|peopl|malcolm|believ|lnp|denial|realiti,604,2,6,6,6,6,6,6,6,6,2,2
7,2,5,world|tackl|forest|denier|one|great|heritag|#tasfir|news|rise,1163,1,7,7,7,7,7,7,7,1,1,1
8,2,5,new|year|record|temperat|#thori|hottest|serio|call|risk|big,1359,3,8,8,8,8,8,8,3,3,3,3
9,2,5,scienc|fire|need|impact|make|real|devast|head|combat|effect,830,4,9,9,9,9,9,9,9,9,4,4
10,2,5,scientist|csiro|#csiro|now|answer|chief|claim|#scienc|derid|exec,1041,5,10,10,10,10,10,10,10,10,5,5
11,3,5,world|threat|effect|chang|record|face|one|act|adapt|next,1184,1,11,11,11,11,11,11,11,1,1,1
12,3,5,need|now|action|save|make|find|time|believ|#scienc|news,1141,3,12,12,12,12,12,12,3,3,3,3
13,3,5,scientist|research|scienc|impact|plan|energi|speci|link|faster|big,1113,2,13,13,13,13,13,13,13,13,2,2
14,3,5,risk|new|repo|lead|coal|health|cost|reef|fail|great,981,5,14,14,14,14,14,14,14,5,5,5
15,3,5,csiro|#csiroc|#csiro|rise|sea|level|fli|navig|damag|rate,581,4,15,15,15,15,15,15,15,15,15,4
16,4,5,speech|leo|threat|peopl|dicaprio|happen|leonardo|now|right|talk,1100,1,16,16,16,16,16,16,16,1,1,1
17,4,5,#oscar|real|impact|health|one|#heathealth|sho|hit|winner|victim,844,4,17,17,17,17,17,17,17,17,4,4
18,4,5,new|scientist|world|repo|great|govern|research|nat|address|increas,1695,5,18,18,18,18,18,18,18,5,5,5
19,4,5,call|debat|liber|nsw|nation|scienc|pai|lib|degre|tonight,542,2,19,19,19,19,19,19,19,19,2,2
